Date,Open,High,Low,Close,Volume
10/27/2021,261.92,262.31,252.28,253.02,"6,305,703"
10/26/2021,263.03,270.16,259.06,263.39,"7,089,469"
10/25/2021,252.55,262.41,252.53,262.0,"5,747,711"
10/22/2021,259.88,262.0,251.94,253.06,"7,656,210"
10/21/2021,255.54,265.65,253.6,265.08,"7,003,131"
10/20/2021,257.89,260.38,253.02,255.35,"4,695,141"
10/19/2021,253.94,256.97,251.81,254.41,"5,248,578"
10/18/2021,247.45,253.6,244.16,252.2,"6,911,138"
10/15/2021,250.0,250.46,246.51,249.0,"4,673,527"
10/14/2021,248.12,251.34,247.1,247.41,"6,756,603"
10/13/2021,239.3,243.53,238.67,242.73,"5,422,801"
10/12/2021,237.75,240.32,234.08,237.41,"5,800,287"
10/11/2021,238.49,240.72,232.0,232.33,"7,632,272"
10/08/2021,249.3,251.44,238.12,238.49,"8,488,297"
10/07/2021,246.09,251.65,244.92,249.16,"9,170,897"
10/06/2021,231.97,241.0,231.33,239.12,"7,079,553"
10/05/2021,226.91,239.14,226.26,235.98,"9,928,190"
10/04/2021,235.61,236.29,222.92,226.25,"12,376,670"
10/01/2021,239.44,242.05,236.88,239.29,"5,934,560"
09/30/2021,236.69,243.27,236.27,239.84,"5,474,019"
09/29/2021,245.52,246.24,235.22,236.04,"7,323,712"
09/28/2021,252.51,252.85,241.62,242.7,"11,052,230"
09/27/2021,258.1,259.86,255.79,258.11,"4,683,153"
09/24/2021,263.99,264.97,257.91,262.5,"6,958,900"
09/23/2021,263.49,268.17,262.7,266.72,"7,837,891"
09/22/2021,253.0,261.79,252.29,261.07,"6,270,964"
09/21/2021,252.82,254.1,249.83,251.3,"4,658,653"
09/20/2021,245.33,251.72,244.61,250.23,"5,861,465"
09/17/2021,256.06,257.27,252.38,255.79,"5,893,621"
09/16/2021,248.8,255.49,247.48,255.09,"5,795,078"
09/15/2021,247.73,248.9,245.07,248.8,"4,092,159"
09/14/2021,249.1,253.42,245.68,247.05,"4,940,366"
09/13/2021,248.74,248.84,237.91,246.68,"7,879,068"
09/10/2021,253.01,254.75,247.38,247.9,"6,509,321"
09/09/2021,256.0,258.63,251.38,251.54,"5,606,223"
09/08/2021,264.76,265.0,251.73,254.72,"10,481,770"
09/07/2021,270.08,270.45,263.75,265.83,"5,679,829"
09/03/2021,266.54,270.63,263.68,269.74,"4,908,525"
09/02/2021,272.37,274.37,265.47,265.94,"5,224,640"
09/01/2021,269.01,273.15,267.94,268.25,"3,941,962"
08/31/2021,273.5,276.14,266.26,268.07,"6,309,250"
08/30/2021,271.0,273.87,268.5,271.92,"6,348,103"
08/27/2021,262.0,270.48,261.62,268.01,"4,646,212"
08/26/2021,268.0,268.0,260.94,262.13,"4,314,383"
08/25/2021,269.53,270.33,266.22,267.57,"3,428,707"
08/24/2021,272.4,274.19,269.13,270.17,"4,258,055"
08/23/2021,267.71,273.5,267.07,270.44,"6,071,292"
08/20/2021,257.14,263.5,257.09,263.05,"4,749,643"
08/19/2021,256.84,260.48,254.14,257.35,"5,121,004"
08/18/2021,261.54,266.67,259.08,259.66,"4,705,093"
08/17/2021,260.98,264.25,257.91,260.88,"5,707,835"
08/16/2021,266.35,267.38,257.6,263.4,"6,550,548"
08/13/2021,269.95,271.91,266.46,267.88,"4,267,542"
08/12/2021,270.45,272.84,265.55,268.59,"5,215,901"
08/11/2021,277.76,281.34,269.62,271.09,"8,018,190"
08/10/2021,280.01,283.59,272.64,273.08,"6,694,815"
08/09/2021,272.99,286.52,270.63,279.73,"10,561,690"
