Date,Open,High,Low,Close,Volume
10/27/2021,"296.53","299.19","295.09","295.15","3,742,741"
10/26/2021,"295.78","298.36","293.62","295.11","3,601,447"
10/25/2021,"293.30","295.13","291.72","293.92","2,993,500"
10/22/2021,"289.00","293.00","288.18","292.56","2,927,049"
10/21/2021,"289.47","291.57","288.27","289.81","2,828,499"
10/20/2021,"293.11","295.41","287.95","290.09","4,487,918"
10/19/2021,"292.10","295.53","291.36","292.34","3,631,164"
10/18/2021,"290.78","293.25","288.71","291.70","5,163,348"
10/15/2021,"292.49","292.87","289.32","291.66","5,119,331"
10/14/2021,"286.00","290.64","284.66","290.02","5,435,676"
10/13/2021,"280.00","285.10","278.60","284.41","6,575,213"
10/12/2021,"276.42","280.75","276.02","279.00","5,970,095"
10/11/2021,"271.78","276.27","271.51","273.75","2,693,021"
10/08/2021,"275.54","276.92","272.27","272.48","2,683,286"
10/07/2021,"276.90","279.50","274.09","274.58","5,374,204"
10/06/2021,"269.67","275.49","267.50","275.27","4,745,485"
10/05/2021,"272.11","273.55","271.03","271.77","4,050,404"
10/04/2021,"275.22","275.30","266.14","270.86","6,393,840"
10/01/2021,"271.50","276.34","268.77","275.26","4,756,004"
09/30/2021,"270.65","274.26","270.44","271.22","5,226,998"
09/29/2021,"273.49","274.68","269.24","270.50","4,361,850"
09/28/2021,"275.11","276.70","270.04","272.28","7,127,081"
09/27/2021,"282.44","283.76","279.04","279.68","5,941,145"
09/24/2021,"278.50","286.36","278.21","285.63","13,368,310"
09/23/2021,"270.00","279.39","266.40","277.86","15,617,210"
09/22/2021,"258.90","260.36","256.21","259.17","4,355,561"
09/21/2021,"259.47","262.55","257.77","257.97","6,040,565"
09/20/2021,"256.59","259.22","254.94","258.22","5,985,544"
09/17/2021,"259.27","261.70","258.68","260.53","7,053,537"
09/16/2021,"255.53","261.22","255.00","260.36","5,122,575"
09/15/2021,"254.54","256.75","252.95","256.16","4,764,574"
09/14/2021,"254.11","255.11","253.00","254.37","4,097,542"
09/13/2021,"257.00","257.69","252.19","254.11","5,258,184"
09/10/2021,"261.00","261.59","256.50","257.20","5,280,883"
09/09/2021,"261.82","263.71","260.45","260.74","4,126,467"
09/08/2021,"263.62","264.34","261.58","262.62","3,851,513"
09/07/2021,"266.54","267.90","264.07","265.21","4,673,779"
09/03/2021,"263.60","267.41","261.80","267.08","7,357,515"
09/02/2021,"269.00","269.26","263.92","264.15","4,499,608"
09/01/2021,"266.27","273.26","265.59","268.32","7,189,035"
08/31/2021,"264.77","266.77","262.70","265.27","5,901,518"
08/30/2021,"265.81","267.58","264.75","264.97","5,729,953"
08/27/2021,"267.86","270.91","265.43","266.53","7,992,509"
08/26/2021,"269.80","275.22","267.36","267.79","18,986,971"
08/25/2021,"260.86","261.90","258.75","260.85","9,700,952"
08/24/2021,"261.92","262.50","259.06","259.66","6,685,164"
08/23/2021,"257.00","261.86","256.57","260.52","7,603,867"
08/20/2021,"253.00","257.87","252.61","256.13","5,510,730"
08/19/2021,"249.17","255.44","248.38","253.07","6,600,793"
08/18/2021,"248.00","256.80","247.72","251.22","8,306,650"
08/17/2021,"248.26","249.20","245.94","246.99","3,472,597"
08/16/2021,"250.17","251.00","244.47","249.20","4,048,733"
08/13/2021,"251.71","253.77","248.87","251.56","5,986,436"
08/12/2021,"242.50","248.43","241.93","248.39","4,468,390"
08/11/2021,"244.67","246.15","240.10","242.28","3,999,205"
08/10/2021,"250.87","251.25","243.04","243.39","4,430,617"
08/09/2021,"251.42","252.42","247.85","249.32","3,312,170"
08/06/2021,"249.23","252.08","249.22","250.59","4,045,384"
08/05/2021,"244.68","250.90","243.54","250.56","5,235,193"
08/04/2021,"241.62","244.65","239.67","244.17","4,121,614"
08/03/2021,"241.38","243.05","239.04","241.13","3,077,919"
08/02/2021,"242.31","242.47","238.88","240.86","3,525,726"
07/30/2021,"243.00","244.24","241.63","241.93","3,748,445"
07/29/2021,"243.49","246.16","243.49","244.04","3,271,103"
07/28/2021,"243.82","246.08","243.00","243.96","4,100,237"
07/27/2021,"247.21","248.13","241.19","243.51","6,352,540"
07/26/2021,"248.20","248.48","245.82","247.60","3,960,897"
07/23/2021,"250.00","250.56","246.68","248.25","5,877,259"
07/22/2021,"243.50","248.70","243.34","248.28","7,868,703"
07/21/2021,"241.44","242.98","238.27","242.11","15,323,130"
07/20/2021,"238.70","243.18","236.27","240.11","8,486,974"
