Date,Open,High,Low,Close,Volume
10/27/2021,"1,039.66","1,070.88","1,030.78","1,037.86","38,526,461"
10/26/2021,"1,024.69","1,094.94","1,001.44","1,018.43","62,414,969"
10/25/2021,950.53,"1,045.02",944.20,"1,024.86","62,852,102"
10/22/2021,895.50,910.00,890.96,909.68,"22,880,840"
10/21/2021,856.00,900.00,855.50,894.00,"31,481,449"
10/20/2021,865.35,869.49,857.38,865.80,"14,032,050"
10/19/2021,877.53,877.95,862.51,864.27,"17,381,131"
10/18/2021,851.79,875.26,851.47,870.11,"24,207,240"
10/15/2021,823.74,843.21,822.35,843.03,"18,924,570"
10/14/2021,815.49,820.25,813.35,818.32,"12,247,170"
10/13/2021,810.47,815.41,805.78,811.08,"14,120,080"
10/12/2021,800.93,812.32,796.57,805.72,"22,020,039"
10/11/2021,787.65,801.24,785.50,791.94,"14,200,320"
10/08/2021,796.21,796.38,780.91,785.49,"16,738,600"
10/07/2021,785.46,805.00,783.38,793.61,"19,195,779"
10/06/2021,776.20,786.66,773.22,782.75,"14,632,770"
10/05/2021,784.80,797.31,774.20,780.59,"18,432,631"
10/04/2021,796.50,806.97,776.12,781.53,"30,483,340"
10/01/2021,778.40,780.78,763.59,775.22,"17,031,410"
09/30/2021,781.00,789.13,775.00,775.48,"17,955,961"
09/29/2021,779.80,793.50,770.68,781.31,"20,942,881"
09/28/2021,787.20,795.64,766.18,777.56,"25,381,420"
09/27/2021,773.12,799.00,769.31,791.36,"28,070,660"
09/24/2021,745.89,774.80,744.56,774.39,"21,373,020"
09/23/2021,755.00,758.20,747.92,753.64,"11,947,530"
09/22/2021,743.53,753.67,739.12,751.94,"15,126,270"
09/21/2021,734.79,744.74,730.44,739.38,"16,330,720"
09/20/2021,734.56,742.00,718.62,730.17,"24,757,650"
09/17/2021,757.15,761.04,750.00,759.49,"28,204,180"
09/16/2021,752.83,758.91,747.61,756.99,"13,923,390"
09/15/2021,745.00,756.86,738.36,755.83,"15,357,690"
09/14/2021,742.57,754.47,736.40,744.49,"18,524,881"
09/13/2021,740.21,744.78,708.85,743.00,"22,952,480"
09/10/2021,759.60,762.61,734.52,736.27,"15,184,170"
09/09/2021,753.41,762.10,751.63,754.86,"14,077,730"
09/08/2021,761.58,764.45,740.77,753.87,"18,793,039"
09/07/2021,740.00,760.20,739.26,752.92,"20,039,830"
09/03/2021,732.25,734.00,724.20,733.57,"15,271,050"
09/02/2021,734.50,740.97,730.54,732.39,"12,796,740"
