Date,Open,High,Low,Close,Volume
10/27/2021,244.74,250.9,242.82,244.51,"24,598,990"
10/26/2021,239.89,252.59,239.24,247.17,"48,589,832"
10/25/2021,229.73,233.55,227.7,231.66,"23,023,480"
10/22/2021,228.23,231.3,225.61,227.26,"24,938,381"
10/21/2021,220.97,227.11,220.83,226.92,"18,759,029"
10/20/2021,223.05,224.33,219.82,221.03,"14,627,590"
10/19/2021,222.76,223.79,220.37,222.9,"16,147,330"
10/18/2021,217.49,222.91,216.44,222.22,"18,949,359"
10/15/2021,218.1,219.31,216.62,218.62,"22,699,400"
10/14/2021,212.88,217.55,211.22,217.46,"24,358,881"
10/13/2021,209.18,209.9,207.13,209.39,"18,065,189"
10/12/2021,208.28,210.57,205.28,206.71,"16,213,350"
10/11/2021,205.75,210.63,205.11,206.95,"16,338,750"
10/08/2021,211.01,212.06,207.75,208.31,"15,125,790"
10/07/2021,210.92,213.22,209.72,210.75,"25,691,891"
10/06/2021,201.2,207.2,200.8,207.0,"29,720,180"
10/05/2021,199.5,206.48,198.54,204.51,"27,928,170"
10/04/2021,205.04,205.42,195.55,197.32,"34,563,500"
10/01/2021,207.5,208.59,202.03,207.42,"24,097,801"
09/30/2021,207.68,210.66,206.88,207.16,"22,100,910"
09/29/2021,209.4,210.17,204.67,205.17,"21,839,359"
09/28/2021,212.14,214.19,206.51,206.99,"34,306,898"
09/27/2021,217.1,217.99,213.25,216.6,"24,521,510"
09/24/2021,220.7,221.49,218.61,220.81,"21,765,551"
09/23/2021,221.4,225.35,218.9,224.82,"24,855,490"
09/22/2021,213.66,219.6,211.96,219.41,"26,872,561"
09/21/2021,214.17,214.25,209.5,212.46,"20,468,811"
09/20/2021,211.46,214.33,206.62,211.13,"34,944,047"
09/17/2021,223.0,223.21,218.3,219.0,"29,450,279"
09/16/2021,221.84,222.77,219.27,222.42,"15,603,340"
09/15/2021,223.09,223.67,219.66,223.41,"16,653,801"
09/14/2021,222.75,224.1,220.86,222.42,"19,975,461"
09/13/2021,226.84,229.64,218.58,221.52,"29,749,990"
09/10/2021,223.48,226.26,222.7,224.78,"24,837,570"
09/09/2021,223.12,225.38,221.31,221.77,"19,685,600"
09/08/2021,225.13,226.1,219.77,223.39,"25,443,420"
09/07/2021,228.33,228.99,225.22,226.62,"19,810,721"
09/03/2021,223.25,229.86,222.0,228.43,"28,083,199"
09/02/2021,225.18,225.93,222.95,223.96,"18,810,961"
09/01/2021,224.85,226.97,223.57,224.41,"20,176,699"
08/31/2021,226.95,226.95,221.2,223.85,"25,984,971"
08/30/2021,228.3,230.43,225.51,226.88,"26,257,990"
08/27/2021,221.84,227.22,221.67,226.36,"30,472,221"
08/26/2021,222.0,223.4,217.9,220.68,"23,794,039"
08/25/2021,217.37,224.7,217.22,222.13,"34,770,102"
08/24/2021,217.53,219.59,215.35,217.93,"29,729,891"
08/23/2021,209.71,219.97,209.5,219.58,"57,580,660"
08/20/2021,199.91,208.65,199.33,208.16,"67,574,125"
08/19/2021,194.94,204.95,187.62,197.98,"76,655,477"
08/18/2021,195.0,196.34,190.0,190.4,"28,591,350"
08/17/2021,196.85,197.7,192.67,194.58,"20,458,490"
08/16/2021,201.35,202.87,194.53,199.5,"21,115,279"
08/13/2021,199.05,202.14,198.51,201.88,"18,306,289"
08/12/2021,198.7,200.29,196.2,199.05,"15,186,160"
08/11/2021,200.43,200.49,194.3,196.99,"18,592,480"
08/10/2021,203.22,204.3,198.35,199.36,"17,923,779"
08/09/2021,204.46,205.08,201.43,202.95,"14,644,310"
08/06/2021,205.24,205.7,202.1,203.66,"17,849,660"
08/05/2021,205.0,207.33,203.42,206.37,"21,143,539"
08/04/2021,199.9,203.18,198.28,202.74,"23,130,939"
08/03/2021,197.4,202.22,192.2,198.15,"30,181,070"
