Date,Open,High,Low,Close,Volume
10/27/2021,"2,788.10","2,973.00","2,788.10","2,924.35","4,289,070"
10/26/2021,"2,785.27","2,801.66","2,766.09","2,786.17","2,461,751"
10/25/2021,"2,751.00","2,760.00","2,708.48","2,748.94","1,720,613"
10/22/2021,"2,783.00","2,811.66","2,721.12","2,751.33","2,529,448"
10/21/2021,"2,835.38","2,843.12","2,810.00","2,837.72","1,314,613"
10/20/2021,"2,866.76","2,870.92","2,827.53","2,835.38","1,164,403"
10/19/2021,"2,867.75","2,873.25","2,852.00","2,864.74","1,008,150"
10/18/2021,"2,821.53","2,855.92","2,821.39","2,855.56","1,019,808"
10/15/2021,"2,832.29","2,834.36","2,815.10","2,827.36","1,513,722"
10/14/2021,"2,789.48","2,826.75","2,776.50","2,823.02","1,596,397"
10/13/2021,"2,748.05","2,760.00","2,730.38","2,751.64","983,116"
10/12/2021,"2,789.60","2,790.14","2,715.20","2,728.98","1,816,612"
10/11/2021,"2,785.84","2,814.24","2,777.18","2,778.28","897,681"
10/08/2021,"2,791.54","2,806.62","2,784.35","2,795.71","1,326,292"
10/07/2021,"2,777.84","2,800.84","2,773.02","2,784.50","1,255,507"
10/06/2021,"2,695.00","2,755.00","2,691.00","2,751.30","1,218,214"
10/05/2021,"2,680.82","2,744.49","2,680.82","2,720.46","1,620,163"
10/04/2021,"2,719.21","2,719.21","2,621.00","2,673.19","2,560,097"
10/01/2021,"2,688.95","2,738.21","2,681.46","2,730.86","1,768,009"
09/30/2021,"2,685.23","2,710.85","2,671.12","2,673.52","1,901,440"
09/29/2021,"2,739.60","2,743.02","2,677.30","2,687.07","1,542,435"
09/28/2021,"2,773.10","2,781.93","2,707.20","2,716.60","2,288,610"
09/27/2021,"2,816.09","2,838.77","2,801.35","2,821.44","1,094,098"
09/24/2021,"2,810.77","2,846.61","2,804.82","2,844.30","1,149,195"
09/23/2021,"2,819.75","2,833.93","2,808.03","2,824.32","1,047,550"
09/22/2021,"2,786.08","2,817.74","2,771.03","2,805.67","1,252,778"
09/21/2021,"2,794.99","2,800.23","2,765.56","2,780.66","1,266,595"
09/20/2021,"2,763.23","2,780.00","2,726.44","2,774.39","2,325,902"
09/17/2021,"2,860.61","2,869.00","2,809.40","2,816.00","2,669,223"
09/16/2021,"2,879.01","2,886.00","2,848.03","2,872.20","1,309,771"
09/15/2021,"2,855.43","2,889.01","2,826.95","2,888.59","1,370,379"
09/14/2021,"2,859.91","2,867.26","2,835.00","2,850.89","983,693"
09/13/2021,"2,838.99","2,859.00","2,825.00","2,846.65","1,104,692"
09/10/2021,"2,884.25","2,894.37","2,814.76","2,817.52","1,841,967"
09/09/2021,"2,876.81","2,886.21","2,863.55","2,870.82","765,855"
09/08/2021,"2,882.00","2,888.00","2,860.00","2,873.82","917,511"
09/07/2021,"2,876.69","2,891.30","2,872.38","2,885.61","1,006,595"
09/03/2021,"2,861.61","2,883.10","2,848.01","2,874.79","992,718"
09/02/2021,"2,904.32","2,910.39","2,863.70","2,865.74","1,617,907"
09/01/2021,"2,900.00","2,925.08","2,897.67","2,904.31","1,096,805"
08/31/2021,"2,902.94","2,903.43","2,885.62","2,893.95","1,122,438"
08/30/2021,"2,888.00","2,919.41","2,883.26","2,891.81","1,221,710"
08/27/2021,"2,833.05","2,890.25","2,829.94","2,880.08","1,439,010"
08/26/2021,"2,835.00","2,848.35","2,827.14","2,828.81","1,030,466"
08/25/2021,"2,832.50","2,843.79","2,827.52","2,841.58","792,574"
08/24/2021,"2,812.23","2,841.60","2,806.77","2,825.23","963,361"
08/23/2021,"2,759.39","2,817.49","2,752.15","2,800.83","1,422,670"
08/20/2021,"2,720.00","2,751.08","2,705.00","2,748.59","1,559,658"
08/19/2021,"2,688.71","2,727.05","2,685.00","2,713.60","1,089,127"
08/18/2021,"2,730.00","2,742.09","2,706.43","2,708.98","962,947"
08/17/2021,"2,755.00","2,765.31","2,721.64","2,733.23","1,085,760"
08/16/2021,"2,750.50","2,767.25","2,705.98","2,766.19","1,119,918"
08/13/2021,"2,745.00","2,757.13","2,740.66","2,754.55","797,372"
08/12/2021,"2,719.51","2,746.00","2,708.51","2,743.88","825,943"
08/11/2021,"2,743.63","2,753.65","2,725.43","2,725.58","767,600"
08/10/2021,"2,746.84","2,755.45","2,727.29","2,736.14","970,704"
08/09/2021,"2,718.85","2,743.68","2,706.79","2,738.26","888,300"
08/06/2021,"2,720.84","2,729.45","2,704.20","2,714.77","1,024,406"
08/05/2021,"2,713.61","2,727.00","2,696.92","2,725.03","893,450"
08/04/2021,"2,706.99","2,712.99","2,689.74","2,702.51","983,801"
08/03/2021,"2,702.70","2,714.64","2,666.39","2,712.60","1,038,094"
08/02/2021,"2,702.34","2,706.73","2,675.88","2,697.09","1,081,710"
07/30/2021,"2,700.70","2,706.09","2,685.10","2,694.53","1,278,789"
07/29/2021,"2,723.00","2,733.22","2,710.86","2,715.55","1,585,786"
07/28/2021,"2,726.24","2,765.94","2,705.55","2,721.88","4,756,530"
07/27/2021,"2,685.01","2,687.98","2,602.08","2,638.00","2,735,474"
